iter	Passed	Remaining
413	3375	4777
414	3382	4767
415	3390	4759
416	3399	4752
417	3408	4745
418	3416	4737
419	3424	4729
420	3432	4720
421	3440	4712
422	3449	4704
423	3456	4695
424	3464	4687
425	3473	4679
426	3481	4671
427	3489	4663
428	3499	4657
429	3506	4648
430	3515	4640
431	3523	4632
432	3532	4625
433	3540	4617
434	3549	4610
435	3557	4601
436	3565	4593
437	3573	4585
438	3582	4577
439	3590	4569
440	3598	4561
441	3607	4553
442	3615	4546
443	3624	4538
444	3632	4529
445	3640	4521
446	3648	4513
447	3656	4505
448	3664	4496
449	3672	4489
450	3681	4480
451	3689	4472
452	3698	4465
453	3706	4457
454	3714	4449
455	3721	4439
456	3729	4431
457	3737	4422
458	3745	4414
459	3753	4406
460	3760	4397
461	3769	4389
462	3777	4381
463	3785	4372
464	3793	4365
465	3801	4356
466	3809	4348
467	3818	4340
468	3826	4332
469	3834	4324
470	3843	4316
471	3850	4307
472	3858	4298
473	3866	4290
474	3874	4281
475	3881	4272
476	3889	4264
477	3897	4256
478	3905	4247
479	3913	4239
480	3920	4230
481	3928	4221
482	3936	4213
483	3944	4205
484	3953	4197
485	3960	4188
486	3968	4180
487	3976	4171
488	3984	4164
489	3993	4156
490	4000	4147
491	4009	4139
492	4017	4131
493	4025	4122
494	4033	4115
495	4041	4106
496	4049	4098
497	4058	4091
498	4066	4082
499	4074	4074
500	4082	4066
501	4090	4057
502	4097	4048
503	4106	4040
504	4113	4032
505	4121	4023
506	4131	4017
507	4139	4009
508	4148	4001
509	4155	3992
510	4164	3985
511	4172	3977
512	4182	3970
513	4190	3961
514	4199	3954
515	4209	3948
516	4217	3940
517	4226	3933
518	4235	3925
519	4246	3920
520	4255	3912
521	4263	3903
522	4271	3895
523	4279	3887
524	4290	3881
525	4301	3876
526	4308	3867
527	4317	3859
528	4326	3851
529	4334	3844
530	4342	3835
531	4350	3827
532	4359	3819
533	4368	3811
534	4376	3803
535	4383	3794
536	4392	3786
537	4399	3778
538	4408	3770
539	4416	3762
540	4424	3753
541	4432	3745
542	4441	3737
543	4449	3729
544	4456	3720
545	4465	3713
546	4473	3704
547	4480	3695
548	4488	3687
