date,hs1,hs2,hs3,hs4
2002-12-31,0.0313354,0.009710376,0.016498422,-0.021428756
2003-01-31,-0.12947308,-0.26276925,-0.21536744,0.087674275
2003-02-28,-0.16393715,-0.12162893,-0.14071645,0.08104959
2003-03-31,-0.02398015,0.021499988,-0.013631747,-0.016193675
2003-04-30,-0.15518674,-0.051054694,0.019583248,0.16161211
2003-05-31,-0.12642236,-0.25750247,-0.13748081,0.11646169
2003-06-30,-0.09834646,-0.25277904,-0.16052741,0.122514024
2003-07-31,-0.07109234,-0.24424334,-0.12979665,0.09780598
2003-08-31,-0.04529191,-0.20963359,-0.09607191,0.10461262
2003-09-30,-0.2752718,-0.49500734,-0.67663574,0.10068041
2003-10-31,-0.30409262,-0.20326318,-0.34362683,0.24957642
2003-11-30,-0.25228924,-0.13811386,-0.23703763,0.2000884
2003-12-31,-0.15508264,-0.04507615,-0.12644675,0.15510242
2004-01-31,-0.100981645,0.015223134,-0.06497433,0.0960448
2004-02-29,-0.09736813,-0.055160582,-0.08147257,0.07536211
2004-03-31,0.008246922,0.046755612,0.021922544,-0.007990635
2004-04-30,0.011657934,0.076084204,0.031186191,-0.061881594
2004-05-31,-0.035675853,0.026572563,0.0019721976,-0.01903217
2004-06-30,-0.018373353,0.021946196,-0.023023874,0.017692592
2004-07-31,0.08649625,-0.15826495,-0.060763065,0.13740294
2004-08-31,0.07831672,-0.16080369,-0.067971,0.13645743
2004-09-30,0.0036349497,-0.017739447,-0.030148616,-0.005811509
2004-10-31,-0.013571372,0.009904952,0.012974276,-0.025029834
2004-11-30,-0.049321752,0.017841786,0.02120322,-0.027629161
2004-12-31,-0.035694595,0.023539063,0.012454986,-0.019733634
2005-01-31,-0.008071576,-0.06385176,0.018127786,0.037094824
2005-02-28,-0.14909768,0.07884558,0.0069482857,-0.10825282
2005-03-31,-0.083393045,0.04153743,0.017308481,-0.0502932
2005-04-30,-0.08629084,0.039386477,0.025214748,-0.07300545
2005-05-31,-0.053978693,-0.02049929,0.00921205,0.020075757
2005-06-30,0.09899603,-0.33615214,0.055099692,0.06911727
2005-07-31,0.093913,-0.3242505,0.09169761,0.034215722
2005-08-31,0.0011282854,-0.19676088,0.064973556,0.016759492
2005-09-30,-0.01616923,-0.10347613,0.048763163,-0.012705085
2005-10-31,-0.0019539166,-0.09274073,0.045939043,-0.007280976
2005-11-30,-0.044702154,-0.1879571,0.05984285,0.019377867
2005-12-31,-0.119344324,-0.029753426,-0.012322145,-0.0069610267
2006-01-31,-0.07458505,-0.07376393,0.0074715265,-0.020676767
2006-02-28,-0.21559653,-0.42418072,-0.07452362,0.01236125
2006-03-31,-0.35731176,-0.07414303,0.0421515,-0.119093604
2006-04-30,-0.26860964,-0.0748889,0.050131124,-0.12043206
2006-05-31,-0.2285637,-0.069976725,0.0134615535,-0.038038403
2006-06-30,-0.13508861,0.03544761,0.061161727,-0.055367976
2006-07-31,-0.088225536,0.09743851,0.11923236,-0.07475648
2006-08-31,-0.23239176,-0.30055714,-0.08583609,0.021217564
2006-09-30,-0.121793196,-0.40447494,-0.13675444,0.08464106
2006-10-31,-0.036582667,-0.22428907,-0.21428339,0.040313803
2006-11-30,-0.014400573,-0.20508306,-0.21398754,0.0033492057
2006-12-31,-0.09192406,-0.18304601,-0.18994372,0.05465345
2007-01-31,-0.09320079,-0.1867753,-0.0677226,-0.017399028
2007-02-28,-0.057882115,-0.13237081,-0.04730211,0.012541
2007-03-31,-0.11788492,-0.12861729,-0.01638121,0.04498905
2007-04-30,-0.14299661,-0.08352154,-0.044347715,0.061879165
2007-05-31,-0.09913566,-0.14375621,-0.0008732181,0.038481556
2007-06-30,-0.040878482,-0.03517725,0.013700099,0.0026102217
2007-07-31,-0.023014413,-0.035444345,0.023500444,-0.0040752604
2007-08-31,0.028140143,-0.07238018,0.07870232,-0.023918081
2007-09-30,-0.04320525,-0.0846384,-0.0025171784,0.0578769
2007-10-31,-0.04492072,-0.078035615,-0.07623854,0.13333069
2007-11-30,-0.028433574,-0.073785536,-0.05174724,0.09856919
2007-12-31,0.028168311,-0.04590056,0.012069735,0.016213933
2008-01-31,0.023429029,-0.037444193,-0.033998128,0.057476114
2008-02-29,0.0074851075,-0.11009642,-0.00134415,0.053477805
2008-03-31,0.023529278,-0.77299094,0.7220055,-0.0041849036
2008-04-30,0.06684392,-0.35606608,0.2742708,0.14758684
2008-05-31,0.031382497,-0.22891887,0.15086642,0.12348456
2008-06-30,0.00896814,-0.2016894,0.036157455,0.14365624
2008-07-31,-0.20715922,-0.5723658,-0.26812702,0.058097653
2008-08-31,-0.1476737,-0.25709608,-0.124052234,0.18578687
2008-09-30,-0.0636434,-0.07434569,-0.007410895,0.029142039
2008-10-31,-0.08787355,-0.028670248,0.02501738,-0.00083789934
2008-11-30,-0.014961074,0.019709725,0.10647763,0.03360974
2008-12-31,-0.030257424,0.13250957,0.044627395,-0.030123388
2009-01-31,-0.07951362,0.103655845,0.039170712,-0.09118764
2009-02-28,-0.18965468,-0.14376189,0.1834145,-0.13538104
