iter	RMSE
630	0.167256997
631	0.1672561367
632	0.1672321927
633	0.1672171329
634	0.1672080107
635	0.1671959939
636	0.1671862404
637	0.1671720995
638	0.1671572362
639	0.1671508645
640	0.1671376747
641	0.1671302133
642	0.1671224515
643	0.1671104536
644	0.1670954984
645	0.1670792112
646	0.167062642
647	0.1670528304
648	0.1670391136
649	0.1670367184
650	0.1670242776
651	0.1670145383
652	0.1669987505
653	0.1669900738
654	0.1669885304
655	0.1669721665
656	0.1669604976
657	0.1669537181
658	0.1669418438
659	0.1669322946
660	0.1669049772
661	0.1668963047
662	0.1668815731
663	0.1668713301
664	0.1668644891
665	0.1668494775
666	0.1668345431
667	0.1668265513
668	0.1668154255
669	0.1667997966
670	0.1667873085
671	0.1667780993
672	0.1667633062
673	0.1667554362
674	0.1667450023
675	0.1667340451
676	0.1667234938
677	0.1667061322
678	0.166699776
679	0.1666850895
680	0.1666641043
681	0.1666638892
682	0.1666443308
683	0.1666346826
684	0.166625978
685	0.1666172073
686	0.1666101629
687	0.1665990152
688	0.1665918803
689	0.1665741527
690	0.1665648812
691	0.1665560314
692	0.1665444095
693	0.1665364555
694	0.1665256801
695	0.1665094314
696	0.1664965502
697	0.1664702798
698	0.1664593435
699	0.1664445217
700	0.1664343626
701	0.1664268682
702	0.1664217116
703	0.1664123119
704	0.1664080453
705	0.1663968611
706	0.1663890609
707	0.1663761923
708	0.166375575
709	0.1663687868
710	0.1663501858
711	0.1663426385
712	0.1663354006
713	0.1663320378
714	0.1663233188
715	0.1663179799
716	0.1663030607
717	0.1662790051
718	0.1662675605
719	0.1662558787
720	0.1662429239
721	0.1662291237
722	0.1662162972
723	0.1662044643
724	0.1661901283
725	0.1661837093
726	0.1661749421
727	0.1661602917
728	0.1661450458
729	0.1661294028
730	0.1661123721
731	0.1660979689
732	0.1660864574
733	0.1660729948
734	0.1660645926
735	0.1660528779
736	0.1660427567
737	0.1660358155
738	0.1660211592
739	0.1660100356
740	0.165993335
741	0.165983321
742	0.1659731557
743	0.1659606951
744	0.1659565194
745	0.1659516132
746	0.1659346113
747	0.1659239572
748	0.1659212143
749	0.1659083807
750	0.1658965716
751	0.1658874777
752	0.1658798811
753	0.1658723657
754	0.1658620716
755	0.1658442297
756	0.1658268708
757	0.1658183693
758	0.1658093552
759	0.1658020494
760	0.1657895227
761	0.1657792018
762	0.1657569506
763	0.1657554387
764	0.165745737
765	0.1657367825
766	0.1657243774
767	0.165721243
768	0.1657105519
769	0.165700552
770	0.1656945375
771	0.1656837478
772	0.1656629567
773	0.1656541169
774	0.1656419043
775	0.1656285171
776	0.16562165
777	0.1656124126
778	0.1655995176
779	0.1655970861
780	0.165590469
781	0.1655793756
782	0.1655734505
783	0.1655730622
784	0.1655581839
785	0.1655460553
786	0.1655269677
787	0.1655172301
788	0.165517016
789	0.1655090119
790	0.1654978197
791	0.1654858092
792	0.1654792793
793	0.1654787842
794	0.1654658474
795	0.1654566134
796	0.1654416404
797	0.1654302828
798	0.165417823
799	0.1654086095
800	0.165394081
801	0.1653855375
802	0.1653717425
803	0.1653595881
804	0.1653466579
805	0.1653212827
806	0.1653122084
807	0.1653045824
808	0.1652931306
809	0.1652828375
810	0.1652716927
811	0.1652593574
812	0.1652486582
813	0.1652341418
814	0.1652248741
815	0.1652146941
816	0.165214464
817	0.1652007311
818	0.1651925915
819	0.1651810508
820	0.1651679285
821	0.1651522083
822	0.1651409639
823	0.1651283494
824	0.165119661
825	0.1651009064
826	0.1650883418
827	0.1650729966
828	0.1650608956
829	0.1650425476
830	0.1650327966
831	0.1650160165
832	0.1650039236
833	0.1649914189
834	0.1649835273
835	0.1649709177
836	0.1649621429
837	0.1649420841
838	0.1649309322
839	0.1649204998
840	0.1649102839
841	0.1649035345
842	0.164891668
843	0.164882174
844	0.1648674515
845	0.164856507
846	0.1648461587
847	0.1648321778
848	0.1648241408
849	0.16480899
850	0.1648009052
851	0.1647780815
852	0.1647697007
853	0.1647608078
854	0.1647504079
855	0.1647431509
856	0.1647355044
857	0.1647285323
858	0.1647160808
859	0.1647024782
860	0.1646885392
861	0.1646773048
862	0.1646580674
863	0.1646435146
864	0.1646364002
865	0.16462986
866	0.1646146524
867	0.1646068687
868	0.1645952026
869	0.1645891393
870	0.164581526
871	0.1645695014
872	0.164555152
873	0.16455246
874	0.1645409421
875	0.1645347998
876	0.1645214911
877	0.1645166463
878	0.1645042219
879	0.1644959004
880	0.1644919407
881	0.1644812902
882	0.1644745197
883	0.1644707559
884	0.164455674
885	0.1644423642
886	0.1644361424
887	0.1644356084
888	0.1644280759
889	0.1644055787
890	0.1643903118
891	0.1643843825
892	0.1643785798
893	0.1643770971
894	0.1643660662
895	0.1643571462
896	0.1643508564
897	0.1643427888
898	0.1643273708
899	0.1643186136
900	0.1643097104
901	0.1643009824
902	0.1642927058
903	0.1642797383
904	0.1642709853
905	0.1642557737
906	0.1642440594
907	0.164231288
908	0.1642221128
909	0.1642121307
910	0.1642045286
911	0.1641988009
912	0.1641902233
913	0.1641823322
914	0.164171277
915	0.164159617
916	0.164151822
917	0.1641417131
918	0.1641343943
919	0.1641252866
920	0.1641173868
921	0.1641081133
922	0.1640981363
923	0.1640858466
924	0.1640806289
925	0.1640705741
926	0.164064194
927	0.1640606724
928	0.1640524201
929	0.1640427653
930	0.1640337122
931	0.1640216573
932	0.1640099671
933	0.164001457
934	0.163988367
935	0.1639650773
936	0.163963091
937	0.1639520432
938	0.1639447126
939	0.163932656
940	0.1639155922
941	0.1639113718
942	0.1639008066
943	0.1638935718
944	0.1638825403
945	0.1638801144
946	0.1638717522
947	0.1638629456
948	0.163856793
949	0.1638486228
950	0.1638422974
951	0.1638288393
952	0.1638213135
953	0.1638114262
954	0.16379516
955	0.1637839403
956	0.1637665173
957	0.1637506836
958	0.1637370882
959	0.1637284743
960	0.1637119989
961	0.163701648
962	0.163694513
963	0.163686092
964	0.1636859456
965	0.1636813454
966	0.1636733484
967	0.1636629735
968	0.1636529008
969	0.163645855
970	0.1636373498
971	0.1636309725
972	0.1636215279
973	0.1636111258
974	0.1636037907
975	0.1635972139
976	0.1635897774
977	0.1635841933
978	0.1635740594
979	0.1635633843
980	0.1635561975
981	0.1635446595
982	0.1635351436
983	0.1635285953
984	0.163511658
985	0.16350152
986	0.163492744
987	0.1634832194
988	0.163475282
989	0.1634624921
990	0.1634496706
991	0.1634446158
992	0.1634365144
993	0.1634316481
994	0.1634234881
995	0.1634183917
996	0.1634156998
997	0.1634061369
998	0.1634060577
999	0.1633922267
