date,year,permno,ticker,ret,ret_pred,me_last_year
2017-01-31,2017,83443,BRK,0.0071174604818224,0.007910683058795392,75732901.42778778
2017-01-31,2017,12369,GM,0.0508036874234676,0.00790861145494884,90118160.45753479
2017-01-31,2017,77418,TWX,0.0033150285016745,0.007902498687895049,95550910.28139305
2017-01-31,2017,18163,PG,0.049827504903078,0.007900524322806232,93937919.18344371
2017-01-31,2017,86783,PCLN,0.0743966400623321,0.007898428941946166,54965327.04051272
2017-01-31,2017,49154,TGT,-0.1072961315512657,0.007894147967794887,88721772.9667886
2017-01-31,2017,87055,COST,0.0239834878593683,0.007891924301566254,88536469.34099834
2017-01-31,2017,57665,NKE,0.0407239757478237,0.007890890965851138,233956089.20640436
2017-01-31,2017,89006,MDLZ,-0.0011279731988906,0.007889909314681632,50728497.83436712
2017-01-31,2017,77668,ESRX,0.0013082764344289,0.007886864456167103,76546285.55987422
2017-02-28,2017,86783,PCLN,0.0945953652262687,0.00794260708999119,54965327.04051272
2017-02-28,2017,83443,BRK,0.0443523749709129,0.007924314592995115,75732901.42778778
2017-02-28,2017,12369,GM,0.0062824240885674,0.007910166525812801,90118160.45753479
2017-02-28,2017,87055,COST,0.0834400504827499,0.007907298216848015,88536469.34099834
2017-02-28,2017,18163,PG,0.0396118871867656,0.007905919199624405,93937919.18344371
2017-02-28,2017,77418,TWX,0.0181982517242431,0.007902883700761114,95550910.28139305
2017-02-28,2017,77668,ESRX,0.0256969276815652,0.007899857000111027,76546285.55987422
2017-02-28,2017,57665,NKE,0.0805292651057243,0.007897310441877609,233956089.20640436
2017-02-28,2017,89525,CMCSA,-0.0076902923174202,0.007896805804726853,65567784.06689612
2017-02-28,2017,49154,TGT,-0.0792494192719459,0.00789249278906682,88721772.9667886
2017-03-31,2017,86783,PCLN,0.0323873274028301,0.007950735589316135,54965327.04051272
2017-03-31,2017,12369,GM,-0.0298588369041681,0.007903209444642805,90118160.45753479
2017-03-31,2017,77668,ESRX,-0.0670912638306617,0.007901047296159576,76546285.55987422
